"valor","tipo","data-expedição","data-envio","fk-func"
"833868582-67","CPF","2008-01-17","2021-03-11","63"
"6845146-6","RG","2018-02-03","2021-01-15","63"
"636754753523","Titulo","2013-11-12","2021-01-03","63"
"367722988-62","CPF","2019-07-24","2021-04-23","64"
"2264557-8","RG","2009-07-08","2021-03-31","64"
"521334573853","Titulo","2010-02-13","2021-03-23","64"
"768435438-51","CPF","2020-02-03","2021-02-15","65"
"1949257-3","RG","2016-05-15","2021-03-11","65"
"135893568763","Titulo","2019-08-29","2021-04-08","65"
"336758621-82","CPF","2009-12-30","2021-02-23","66"
"6468446-5","RG","2006-10-01","2021-04-14","66"
"577417252617","Titulo","2015-08-08","2021-01-30","66"
"211831467-42","CPF","2017-05-18","2021-04-18","67"
"9636536-9","RG","2008-03-09","2021-02-23","67"
"412411246457","Titulo","2007-09-15","2021-04-13","67"
"433738236-37","CPF","2016-11-16","2021-02-02","68"
"6878836-2","RG","2018-08-28","2021-03-23","68"
"746567852323","Titulo","2016-07-26","2021-03-18","68"
"565476724-94","CPF","2006-03-30","2021-03-06","69"
"9856582-5","RG","2017-07-07","2021-04-17","69"
"872776849536","Titulo","2007-06-27","2021-03-05","69"
"486535348-54","CPF","2012-07-24","2021-04-12","70"
"1328554-5","RG","2006-11-03","2021-01-04","70"
"124772925688","Titulo","2013-07-12","2021-02-16","70"
"576238578-33","CPF","2014-12-04","2021-02-15","71"
"8226265-7","RG","2010-05-21","2021-01-14","71"
"457265882377","Titulo","2013-02-27","2021-01-28","71"
"241673512-86","CPF","2015-04-02","2021-02-26","72"
"3912979-3","RG","2014-04-25","2021-01-09","72"
"788136471633","Titulo","2016-09-23","2021-01-22","72"
"464552127-22","CPF","2005-06-16","2021-02-20","73"
"8454488-3","RG","2016-09-01","2021-01-27","73"
"929342669386","Titulo","2020-10-07","2021-02-23","73"
"726387884-95","CPF","2012-12-23","2021-02-11","74"
"2833669-2","RG","2013-09-13","2021-04-22","74"
"887222478475","Titulo","2015-11-10","2021-04-03","74"
"683221872-22","CPF","2013-06-17","2021-03-31","75"
"2253528-7","RG","2012-05-20","2021-03-24","75"
"364647376145","Titulo","2011-06-16","2021-03-08","75"
"872233729-86","CPF","2019-05-24","2021-01-02","76"
"7825658-4","RG","2014-01-25","2021-03-21","76"
"382532764869","Titulo","2019-06-09","2021-02-17","76"
"788219475-47","CPF","2019-01-30","2021-01-15","77"
"4736466-7","RG","2018-01-10","2021-02-25","77"
"485785487677","Titulo","2009-03-10","2021-02-03","77"
"393517458-47","CPF","2017-07-15","2021-01-26","78"
"1467681-4","RG","2015-04-20","2021-01-13","78"
"127843395786","Titulo","2009-03-15","2021-04-23","78"
"716829121-47","CPF","2015-06-29","2021-03-01","79"
"2957376-8","RG","2011-05-04","2021-02-07","79"
"774738677673","Titulo","2014-07-27","2021-04-04","79"
"372796642-52","CPF","2017-01-24","2021-02-14","80"
"6435482-2","RG","2007-09-02","2021-04-25","80"
"561516833817","Titulo","2012-04-12","2021-01-10","80"
"837462813-37","CPF","2011-03-06","2021-02-03","81"
"2559281-7","RG","2008-08-29","2021-01-17","81"
"338932664838","Titulo","2007-03-12","2021-04-16","81"
"246394626-75","CPF","2018-11-24","2021-04-12","82"
"9661318-4","RG","2018-01-27","2021-01-19","82"
"471478894974","Titulo","2011-04-06","2021-01-26","82"
"755248514-23","CPF","2016-07-06","2021-02-15","83"
"6576281-2","RG","2018-06-19","2021-02-21","83"
"779926157496","Titulo","2011-12-04","2021-04-13","83"
"744686677-82","CPF","2014-10-04","2021-01-30","84"
"5384629-7","RG","2012-08-09","2021-01-23","84"
"761152593725","Titulo","2018-04-03","2021-01-16","84"
"832266292-97","CPF","2014-02-01","2021-01-31","85"
"4885874-3","RG","2020-05-31","2021-01-16","85"
"683624356843","Titulo","2009-12-17","2021-01-28","85"
"238157863-62","CPF","2012-09-21","2021-01-12","86"
"3634732-7","RG","2015-09-21","2021-03-04","86"
"336138319278","Titulo","2005-04-04","2021-04-15","86"
"544623675-74","CPF","2019-07-05","2021-04-30","87"
"7157345-7","RG","2010-05-02","2021-02-09","87"
"436164196849","Titulo","2011-01-20","2021-04-11","87"
"182866736-36","CPF","2005-11-16","2021-02-12","88"
"5585865-6","RG","2009-09-03","2021-03-11","88"
"987886475164","Titulo","2020-04-01","2021-01-17","88"
"487513362-98","CPF","2009-07-23","2021-02-23","89"
"4438388-2","RG","2008-08-20","2021-03-23","89"
"522469482833","Titulo","2007-08-28","2021-01-04","89"
"223814813-45","CPF","2019-09-25","2021-03-05","90"
"7635173-8","RG","2013-03-21","2021-01-31","90"
"821685537518","Titulo","2009-01-15","2021-03-05","90"
"428682669-63","CPF","2019-12-15","2021-04-14","91"
"4573784-8","RG","2006-02-19","2021-04-09","91"
"536468664784","Titulo","2012-10-22","2021-04-20","91"
"536763918-28","CPF","2013-11-13","2021-03-15","92"
"7312229-3","RG","2010-04-25","2021-03-26","92"
"733448565543","Titulo","2010-02-09","2021-01-30","92"
"139493264-88","CPF","2014-11-22","2021-04-13","93"
"3822695-2","RG","2007-11-01","2021-04-05","93"
"657444623995","Titulo","2005-09-22","2021-03-15","93"
"765422463-13","CPF","2006-04-01","2021-01-31","94"
"2426529-6","RG","2006-01-14","2021-01-23","94"
"688522547746","Titulo","2011-08-09","2021-02-14","94"
"695634539-87","CPF","2016-05-01","2021-01-22","95"
"2284786-6","RG","2006-01-30","2021-01-30","95"
"474562168816","Titulo","2011-03-05","2021-03-12","95"
"234732614-55","CPF","2012-10-11","2021-03-31","96"
"9828667-4","RG","2018-08-26","2021-01-24","96"
"523855996717","Titulo","2019-10-06","2021-02-23","96"
"785851556-53","CPF","2015-10-08","2021-03-16","97"
"9296786-7","RG","2020-12-07","2021-04-14","97"
"722537528932","Titulo","2016-04-22","2021-03-10","97"
"256544869-25","CPF","2006-07-31","2021-03-18","98"
"3558869-3","RG","2015-01-02","2021-03-17","98"
"634256276634","Titulo","2015-02-05","2021-04-28","98"
"433544468-56","CPF","2012-12-23","2021-03-23","99"
"7228469-3","RG","2008-07-31","2021-03-17","99"
"872279646855","Titulo","2017-05-01","2021-02-15","99"
"914245774-19","CPF","2019-08-25","2021-03-16","100"
"8622682-8","RG","2012-03-15","2021-01-06","100"
"897333432267","Titulo","2005-12-14","2021-01-11","100"
"128297447-55","CPF","2009-04-06","2021-04-24","101"
"6736915-8","RG","2009-06-10","2021-02-14","101"
"825425287223","Titulo","2020-01-16","2021-04-24","101"
"282819267-31","CPF","2016-05-15","2021-02-08","102"
"8592166-1","RG","2016-11-24","2021-01-06","102"
"591978397389","Titulo","2019-05-29","2021-01-16","102"
"188137218-18","CPF","2006-12-06","2021-02-19","103"
"3763458-5","RG","2019-11-27","2021-02-17","103"
"774954558954","Titulo","2008-08-12","2021-01-01","103"
"771352384-97","CPF","2007-05-22","2021-03-14","104"
"8755538-2","RG","2014-05-09","2021-02-28","104"
"394176138317","Titulo","2013-02-20","2021-02-19","104"
"488361527-23","CPF","2017-04-13","2021-02-21","105"
"5877628-7","RG","2019-02-16","2021-01-11","105"
"834831718823","Titulo","2017-09-25","2021-04-19","105"
"344637431-46","CPF","2010-06-04","2021-01-22","106"
"9352654-4","RG","2011-06-22","2021-04-11","106"
"874751664199","Titulo","2006-03-24","2021-03-07","106"
"924586188-87","CPF","2005-01-01","2021-01-13","107"
"8316781-3","RG","2011-08-17","2021-02-20","107"
"699238962243","Titulo","2009-01-05","2021-04-06","107"
"267873112-81","CPF","2009-05-05","2021-04-19","108"
"5797499-5","RG","2007-03-08","2021-03-18","108"
"826934235469","Titulo","2014-10-01","2021-01-18","108"
"764438673-28","CPF","2005-02-18","2021-03-11","109"
"9391339-9","RG","2016-10-01","2021-02-05","109"
"437756776468","Titulo","2011-12-25","2021-01-15","109"
"658377656-85","CPF","2020-09-06","2021-01-09","110"
"5338364-3","RG","2012-07-22","2021-04-01","110"
"922623437773","Titulo","2007-11-30","2021-02-26","110"
"565289884-65","CPF","2005-08-04","2021-04-01","111"
"8184776-3","RG","2009-11-04","2021-02-28","111"
"156392642497","Titulo","2010-08-07","2021-04-25","111"
"757645674-65","CPF","2014-06-30","2021-04-19","112"
"8824886-7","RG","2014-02-23","2021-01-05","112"
"354861133876","Titulo","2011-02-23","2021-01-23","112"
"373362117-71","CPF","2014-07-11","2021-02-07","113"
"6392223-6","RG","2008-05-06","2021-02-25","113"
"549182257323","Titulo","2007-09-13","2021-04-15","113"
"768244147-36","CPF","2007-09-06","2021-04-05","114"
"5178664-1","RG","2015-06-01","2021-03-03","114"
"755861284546","Titulo","2014-03-29","2021-01-28","114"
"645433246-48","CPF","2009-07-01","2021-01-27","115"
"5496431-5","RG","2010-02-15","2021-02-28","115"
"732727188843","Titulo","2019-09-14","2021-02-09","115"
"866744447-38","CPF","2019-11-22","2021-02-26","116"
"1948552-1","RG","2015-05-27","2021-02-15","116"
"128717163665","Titulo","2009-02-12","2021-02-13","116"
"336125557-99","CPF","2020-03-28","2021-03-25","117"
"7936257-1","RG","2007-07-24","2021-01-14","117"
"746734476234","Titulo","2013-05-10","2021-03-13","117"
"348563464-52","CPF","2012-09-12","2021-04-24","118"
"1436261-3","RG","2009-12-21","2021-02-23","118"
"496484688235","Titulo","2011-01-25","2021-04-14","118"
"865713388-83","CPF","2005-04-24","2021-03-18","119"
"7543445-6","RG","2011-06-16","2021-03-13","119"
"789462268769","Titulo","2020-12-02","2021-02-09","119"
"245778733-73","CPF","2009-07-30","2021-04-20","120"
"2275576-7","RG","2009-06-29","2021-05-01","120"
"917441722751","Titulo","2019-09-19","2021-04-06","120"
"428742143-56","CPF","2009-07-05","2021-04-23","121"
"7376421-2","RG","2014-05-21","2021-01-27","121"
"188867787457","Titulo","2011-09-16","2021-03-13","121"
"323335863-46","CPF","2007-07-21","2021-03-23","122"
"1163427-6","RG","2005-12-23","2021-02-19","122"
"245624147781","Titulo","2007-06-05","2021-03-21","122"
"422265583-73","CPF","2007-07-05","2021-01-18","123"
"8657768-3","RG","2011-12-17","2021-01-05","123"
"277445186258","Titulo","2008-09-02","2021-02-11","123"
"732436642-24","CPF","2011-03-24","2021-01-07","124"
"1839684-8","RG","2017-01-25","2021-02-03","124"
"687672145996","Titulo","2010-01-18","2021-03-06","124"
"685278433-15","CPF","2014-06-14","2021-03-13","125"
"8435267-3","RG","2008-01-15","2021-04-17","125"
"397874418547","Titulo","2017-09-01","2021-04-06","125"
"528285574-78","CPF","2017-09-07","2021-02-20","126"
"2721167-2","RG","2017-09-27","2021-04-07","126"
"692198449275","Titulo","2019-02-16","2021-03-31","126"
"625428365-66","CPF","2006-09-12","2021-03-01","127"
"2466331-3","RG","2016-04-05","2021-01-09","127"
"978545234462","Titulo","2012-06-06","2021-01-18","127"
"517835627-89","CPF","2016-09-28","2021-01-01","128"
"7441445-8","RG","2015-07-07","2021-02-14","128"
"749733285895","Titulo","2010-05-07","2021-03-23","128"
"894745374-79","CPF","2005-10-25","2021-03-17","129"
"7687895-7","RG","2014-04-09","2021-01-10","129"
"525171289366","Titulo","2014-10-18","2021-04-18","129"
"731546765-35","CPF","2017-04-12","2021-02-01","130"
"7743257-5","RG","2019-10-09","2021-01-02","130"
"867444323341","Titulo","2017-03-04","2021-02-24","130"
"621219575-21","CPF","2011-12-01","2021-01-26","131"
"7558215-2","RG","2009-03-18","2021-01-18","131"
"261674716323","Titulo","2014-08-30","2021-02-21","131"
"695375232-26","CPF","2016-10-19","2021-02-24","132"
"2891575-3","RG","2012-07-29","2021-02-05","132"
"977145232435","Titulo","2019-03-16","2021-03-05","132"
"433179833-34","CPF","2014-11-01","2021-03-19","133"
"2516998-5","RG","2010-11-28","2021-02-17","133"
"964577544671","Titulo","2012-05-12","2021-03-03","133"
"233284167-55","CPF","2017-02-04","2021-04-19","134"
"8573442-1","RG","2011-03-27","2021-01-20","134"
"865517726647","Titulo","2014-02-06","2021-02-03","134"
"818844552-43","CPF","2006-07-25","2021-04-30","135"
"4874737-2","RG","2008-05-23","2021-04-30","135"
"156358524718","Titulo","2015-12-05","2021-02-20","135"
"283713976-32","CPF","2009-09-30","2021-03-08","136"
"7349598-9","RG","2006-10-29","2021-02-08","136"
"969974633877","Titulo","2009-12-04","2021-03-20","136"
"633871788-29","CPF","2019-07-24","2021-02-01","137"
"8852843-8","RG","2020-11-11","2021-01-29","137"
"268254853381","Titulo","2011-06-30","2021-03-14","137"
"565584187-82","CPF","2005-02-21","2021-03-14","138"
"8514452-5","RG","2009-03-25","2021-03-01","138"
"857177116773","Titulo","2017-11-19","2021-02-21","138"
"268722923-57","CPF","2018-08-15","2021-03-18","139"
"4288455-7","RG","2019-09-11","2021-03-13","139"
"873538749736","Titulo","2010-07-03","2021-04-08","139"
"432613382-35","CPF","2020-05-01","2021-02-08","140"
"7255845-5","RG","2016-05-31","2021-01-07","140"
"766534231543","Titulo","2017-01-15","2021-01-30","140"
"472299719-78","CPF","2008-07-20","2021-02-02","141"
"6472878-9","RG","2010-03-09","2021-01-22","141"
"225782793761","Titulo","2012-03-09","2021-03-19","141"
"758155736-27","CPF","2014-07-05","2021-02-03","142"
"7692147-6","RG","2007-09-23","2021-01-11","142"
"826586257565","Titulo","2018-08-23","2021-02-02","142"
"478546425-12","CPF","2007-10-02","2021-02-09","143"
"4849584-4","RG","2007-08-02","2021-03-18","143"
"253246734237","Titulo","2012-09-15","2021-01-30","143"
"752295577-78","CPF","2007-04-05","2021-02-02","144"
"8484656-5","RG","2013-06-29","2021-02-16","144"
"636653784584","Titulo","2012-10-04","2021-03-03","144"
"145566865-31","CPF","2007-01-30","2021-03-03","145"
"5232324-3","RG","2006-04-01","2021-04-17","145"
"334476288373","Titulo","2018-04-08","2021-02-06","145"
"728881134-27","CPF","2005-05-28","2021-04-11","146"
"5795943-9","RG","2008-11-20","2021-04-08","146"
"377314654533","Titulo","2005-05-12","2021-03-06","146"
"491651265-86","CPF","2013-03-21","2021-02-07","147"
"4243937-2","RG","2010-12-07","2021-01-27","147"
"844426786668","Titulo","2020-11-15","2021-02-01","147"
"384782861-24","CPF","2018-04-02","2021-02-10","148"
"3846323-5","RG","2020-04-15","2021-02-21","148"
"827351787292","Titulo","2017-11-02","2021-03-23","148"
"474646484-58","CPF","2015-06-08","2021-01-02","149"
"6395623-9","RG","2014-02-02","2021-02-19","149"
"625237692555","Titulo","2012-04-20","2021-01-21","149"
"783781535-48","CPF","2007-02-22","2021-04-17","150"
"4628656-9","RG","2017-08-29","2021-04-26","150"
"659644155172","Titulo","2010-07-04","2021-02-16","150"
"868473583-34","CPF","2019-03-09","2021-03-25","151"
"5834237-9","RG","2018-04-25","2021-03-27","151"
"529895775575","Titulo","2009-09-15","2021-03-07","151"
"669333444-64","CPF","2011-01-03","2021-02-07","152"
"6222279-7","RG","2015-06-23","2021-03-26","152"
"464278466844","Titulo","2009-12-05","2021-01-12","152"
"785284285-44","CPF","2010-01-10","2021-01-18","153"
"7835327-3","RG","2013-01-30","2021-01-17","153"
"581973751649","Titulo","2012-01-31","2021-01-02","153"
"132254345-31","CPF","2020-06-19","2021-01-20","154"
"6996722-2","RG","2008-08-11","2021-02-10","154"
"633268766753","Titulo","2009-02-27","2021-02-22","154"
"216586587-49","CPF","2008-06-02","2021-04-29","155"
"5387535-7","RG","2012-12-30","2021-02-28","155"
"565358258465","Titulo","2017-02-25","2021-03-06","155"
"996239434-61","CPF","2005-04-26","2021-02-10","156"
"3177716-7","RG","2010-02-15","2021-02-19","156"
"152748747446","Titulo","2012-01-14","2021-03-28","156"
"465899344-25","CPF","2019-12-08","2021-01-12","157"
"6236266-8","RG","2008-03-07","2021-02-09","157"
"481371915836","Titulo","2014-01-16","2021-02-24","157"
"944928322-23","CPF","2018-10-11","2021-02-20","158"
"7837631-4","RG","2009-01-18","2021-03-06","158"
"635422858827","Titulo","2011-10-28","2021-03-13","158"
"787931376-51","CPF","2005-12-23","2021-01-21","159"
"9751327-4","RG","2019-03-05","2021-02-16","159"
"415772547457","Titulo","2008-12-10","2021-02-27","159"
"358966979-63","CPF","2016-06-16","2021-03-01","160"
"8855679-5","RG","2009-10-08","2021-04-11","160"
"863495343581","Titulo","2018-04-28","2021-02-01","160"
"766666982-52","CPF","2011-11-28","2021-01-13","161"
"2894454-9","RG","2016-11-10","2021-02-04","161"
"596218863424","Titulo","2017-05-16","2021-04-21","161"
"894139597-38","CPF","2012-08-03","2021-04-10","162"
"3952725-6","RG","2014-03-21","2021-03-03","162"
"831338523281","Titulo","2010-04-01","2021-03-03","162"
"488878544-52","CPF","2016-06-20","2021-01-30","163"
"8925687-4","RG","2019-12-22","2021-03-30","163"
"459833419864","Titulo","2009-04-05","2021-04-24","163"
"455856348-77","CPF","2010-03-03","2021-01-12","164"
"9552134-6","RG","2005-10-27","2021-01-31","164"
"135479392733","Titulo","2005-12-20","2021-01-28","164"
"747317348-14","CPF","2006-11-23","2021-03-03","165"
"9687585-7","RG","2013-02-09","2021-01-11","165"
"545635212328","Titulo","2011-08-25","2021-03-10","165"
"627674677-93","CPF","2006-01-14","2021-02-21","166"
"3456135-8","RG","2009-06-04","2021-02-06","166"
"951185887655","Titulo","2008-10-26","2021-03-17","166"
"873472678-33","CPF","2018-05-13","2021-02-04","167"
"8636188-6","RG","2020-04-05","2021-03-10","167"
"773338728651","Titulo","2009-06-22","2021-03-14","167"
"915451835-38","CPF","2016-05-14","2021-02-18","168"
"3733859-7","RG","2018-10-21","2021-03-12","168"
"258126597749","Titulo","2012-01-17","2021-04-29","168"
